user,bot
I freeze when someone raises their voice.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I get emotional flashbacks without warning.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I get triggered by things that seem harmless.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I can’t stop reliving painful memories.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like something bad is always about to happen.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I suddenly felt like I was back in the traumatic moment.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I don't know how to comfort myself.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel abandoned even when people are around.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel disconnected from my body.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel like I’m constantly walking on eggshells.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel like something bad is always about to happen.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
Small conflicts make me panic.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t stop reliving painful memories.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I get overwhelmed by simple tasks.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel like something bad is always about to happen.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I get overwhelmed by simple tasks.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
My inner critic keeps telling me I'm worthless.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
Small conflicts make me panic.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel like something bad is always about to happen.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I suddenly felt like I was back in the traumatic moment.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I feel like I don't deserve kindness.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
My inner critic keeps telling me I'm worthless.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I suddenly felt like I was back in the traumatic moment.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I can’t stop reliving painful memories.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I can’t relax; I’m always on edge.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like something bad is always about to happen.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel empty and scared at the same time.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I feel ashamed for things that weren’t my fault.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I get emotional flashbacks without warning.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel like something bad is always about to happen.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel empty and scared at the same time.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel ashamed for things that weren’t my fault.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
My inner critic keeps telling me I'm worthless.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I avoid people because I don’t feel safe.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I suddenly felt like I was back in the traumatic moment.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I can’t stop blaming myself for the past.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I don't know how to comfort myself.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel like I don't deserve kindness.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I get triggered by things that seem harmless.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
Loud noises make my whole body tense up.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel like I’m constantly walking on eggshells.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like I don't deserve kindness.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I freeze when someone raises their voice.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like something bad is always about to happen.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I freeze when someone raises their voice.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel abandoned even when people are around.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I get triggered by things that seem harmless.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t stop blaming myself for the past.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I don't know how to comfort myself.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I can’t relax; I’m always on edge.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I feel ashamed for things that weren’t my fault.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel disconnected from my body.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I can’t relax; I’m always on edge.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel ashamed for things that weren’t my fault.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
"There are issues from my past that have me very heavily burdened in my heart. I've been torn for so many years and I need help so I can move on with my life.
   I experienced trauma when I was 8 years old and I did come out about it until I was 40.
   Now I know this is what's holding me back on my happiness. I've met a very loving and caring man but because I'm holding on to these things from my past I’m pushing him away.
   How can I get my life back?","You already are doing that! You are reaching out (virtually still counts!). You are accepting your past, you are not denying what happened to you, you are talking about the past. You are already doing a great job of starting this journey. You get your life back by doing things differently.I would think about how you would like to process your past. Do you want to talk to someone? Do you want to write about it? Do you want to pray about it? Do you want to read and research books about trauma? Take some time and think about what you want to do. Think about what would work for you and dive in. I am a Licensed Professional Counselor, so I am biased - but I really believe that counseling works. Having an objective, professional voice that can guide you on this process is so valuable. But please choose what makes you feel comfortable - not what everyone else says. I think you are very brave for reaching out and wanting to work on this. That takes a tremendous amount of courage and strength."
"There are issues from my past that have me very heavily burdened in my heart. I've been torn for so many years and I need help so I can move on with my life.
   I experienced trauma when I was 8 years old and I did come out about it until I was 40.
   Now I know this is what's holding me back on my happiness. I've met a very loving and caring man but because I'm holding on to these things from my past I’m pushing him away.
   How can I get my life back?","I'm so sorry you had that horrible experience! It's common for those who've experienced childhood trauma(s) to not disclose the events until later in life. Sometimes it doesn't feel safe enough to share the information until the person who hurt them is far away, or even dead.  Trusting and vulnerability are difficult, especially when we've been hurt. So, it's not uncommon for clients to share that their desire to be close to their loved one (emotionally, physically and/or sexually) doesn't match the reality of what they are able to actually experience.But, there is hope!You have met a loving and caring man, and you have a self-awareness that you did not experience before. I am confident that the help of a licensed professional counselor (preferably trained in trauma recovery) can help you navigate this healing journey and help you gain the tools needed for the life you want."
"There are issues from my past that have me very heavily burdened in my heart. I've been torn for so many years and I need help so I can move on with my life.
   I experienced trauma when I was 8 years old and I did come out about it until I was 40.
   Now I know this is what's holding me back on my happiness. I've met a very loving and caring man but because I'm holding on to these things from my past I’m pushing him away.
   How can I get my life back?","Have you explained to your prospective partner about the feeling of vulnerability which you've got?Disclosing one's truth to a trusted person will improve your sense of feeling safe and loved.  It may also take off the pressure you feel to complete your own trajectory of making peace with your past burdens of ilife.If you find your possible new partner is patient and understanding, then you've both removed pressure off yourself and will feel validated and loved for speaking your plain truth and finding it well accepted.If you continue to hide your deeper complexity, or if you explain yourself and ask for the person's patience and understanding, and he avoids giving this to you, then you're better off knowing sooner than later the limits of understanding which this potential partner has."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","Hi!This is a great question!The term you are looking for is alexithymia, the inability to identify and describe emotions in the self. However, just because you are not able to feel or express emotions, does not mean that you do not have emotions.After such a traumatic event that you experienced, your central nervous system goes into defensive mode (dorsal vagal nerves) that protect you from any further harm. What this means is if you were to feel your emotions related to your rape, you would have a sense of being overwhelmed, possibly re-experiencing the traumatic event.Not feeling emotions is your body's way of protecting you from any further trauma. Unfortunately, when the (parasympathetic) dorsal vagal system (shutting down feeling) is activated and suppresses your painful emotions (pain, shame, guilt, sadness, anger), it also shuts down your positive and relational emotions (love, joy, contentment, connectedness, happiness).I am very sorry that you had to go through such a traumatic experience as being raped. No one knows what is going on inside of you as a result. You don't know what is happening to your emotional wellbeing! The best (and at times, difficult and scary) thing is to process your emotions related to your trauma. This processing is done carefully, with a trained counselor, in a place that you feel safe, heard, and not judged. Although the thought of proceedings (addressing) emotions may be anxiety-inducing, it brings on a huge sense of relief and validation.What you are going through is normal, considering what happened to you! I hope you reach out for more help.If you have any questions feel free to contact me, Catherine at clevelandemotionalhealth.com"
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I'm so sorry you've been hurt.  It's very normal to stop feeling emotions as a way to protect yourself after experiencing a traumatic event.  You can think of it as emotional shock-- you experienced something that was so awful that you have numbed yourself (mind and body) as a way to stop the emotional and physical pain of the event.  It's actually pretty amazing that our selves know how to do this automatically.  And, I hear you saying that you'd like to get some feeling back now.So here are some ideas for how you can change this:I think it would be a great idea to find an experienced therapist you like and trust and/or a good support group so that you can have some allies as you go through this process.  You also could try journaling.  If you're not sure what to write then check out this list of prompts to get you started (it's for teachers, but I really like it).  There's also art journaling.  Pinterest has lots of suggestions.Meditation could be useful.  There are lots of apps available that offer guided meditations.Yoga, tai chi, or chi gong might also help.I have lots of other ideas, but without knowing more about you I'm reluctant to make suggestions that could accidentally make you feel worse.  IThis protective mechanism of numbing yourself kicked in for a good reason and as you get your feelings back, you may find some pretty challenging reactions coming up.  I guess my final piece of advice to is encourage you to trust yourself and gently go at your own pace in your healing.  I hope this was helpful."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","Terrible things do happen in life, and I am sorry to hear about what happened to you. Please rest assured that you are not a sociopath, and that your reactions are normal responses to traumatic events. I'm guessing you are experiencing a sense of numbness, which is a common response to trauma. The best thing you can do is to get some trauma counseling with a professional counselor.  As you process your experience, you will be able to feel emotions again. However, the first feelings to come back may be related to trauma, such as fear, panic, and a sense of hyper vigilance. A professional counselor will be able to help you tolerate these feelings, manage them, and heal from your trauma."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I don't need to tell you that this is an incredible amount of serious stuff to happen in a short period. When we go through a trauma, it is natural for us to shut down as a way to protect ourselves. A kind of freeze response. Think of a possum or a gazelle. These animals go so far as to physically freeze in protection. Our emotions do the same thing sometimes. We feel shut down and that can be strange---a kind of disconnection. This does not mean that you are sociopath or that your feelings will never come back.  The amazing thing though is that as time moves forward we naturally heal and emotions come back. If you feel stuck, seeking counseling is a way to help accelerate this healing and help you work through and begin healing. Wishing you the absolute best!"
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I’m sorry to know this happened to you! This is a normal response to traumatic events. When we are pushed to the extreme and we are unable to escape, we “freeze” which numbs us from pain but disconnects us from our bodies. We oftentimes continue to feel that disconnection until we work through these traumas. I would suggest working through your traumas with a therapist with methods like EMDR, somatic experiencing, yoga therapy, etc to get your emotions and fullness of life back!"
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I am so sorry this has happened to you! I hope you have some people you find emotionally supportive around you! In terms of your question, I understand what you are talking about. Sometimes when a person experiences a traumatic event, an event called Dissociation occurs. Dissociation is the brain's way of temporary creating and increasing  ""emotional distance"" between what is happening and what you are feeling and experiencing. This is a kind of natural coping mechanism, and it can occur just prior to, during, and after an event has occurred. People describe the feeling as being ""numb,"" or detached from others, their surroundings, and even from their own body. All of these descriptions are accurate and they are your brain's attempt to try and keep you safe from emotions that may otherwise overwhelm you. This is good, in the short-term, because you are not having to immediately face and cope with the immensely painful feelings associated with your trauma. But it is also not-so-good in that it also blocks your ability to feel positive and pleasurable emotions. So while your brain is protecting you, it is also preventing feelings you need now more than ever (such as regaining a sense of safety, soothing your hurts, and feeling empowered for your survival).You are not a sociopath, so do not worry about that, but I would strongly recommend that you consider seeing a therapist or other supportive mental health professional to help you work through what is happened. There are ways for you to heal from your experience which will help you get back to a place where you can feel safe enough to ""feel"" again.  It might be an uncomfortable journey, at times, but you are already hurting and your life is being negatively impacted, now. Good therapy sometimes is like pulling out a splinter--it may hurt a bit to dig that sucker out, but once it's out, your body can finally start to heal.  It might seem better (and less painful) to leave it alone, and ignore (avoid) it. But you risk INFECTION by your inaction which will be 100 x worse than just digging it out. Best of luck to you!Learn more about me and my practice at www.EMDRheals.com"
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","You are describing a very legitimate reaction to trauma.  Rape is an aweful experience and I am very sorry that happened to you.  When horrible things happen, people often react in a way that interferes with the ability to live a normal life and function the way they did in the past.  This is very common and the goal is to help you manage the stress caused by dealing with negative events and with help you can regain emotional well-being.  This is especially important if you have had more than one negative thing happen.  Oftentimes, the unconscious reaction is to become numb and avoid all feelings, especially if more than one negative event occurred.  A big part of what causes people trouble are feelings of guilt.  We often blame ourselves when bad things happen. It is actually difficult to comprehend the concept that we don't always have control of what happens in life.  In addition, when you mentioned feeling like a sociopath, it sounded like you feel like your reaction is wrong.  The first thing you can do is realize that your feelings and reactions are o.k., you aren't doing anything wrong, and nothing is wrong with you.  The next step is to start dealing with the impact of these traumatic experiences. Identifying your feelings, and knowing the thoughts and beliefs that are behind those emotions can help you regain your sense of happiness.  Research shows that understanding and expressing those thoughts and feelings can help.  If doesn't sound like you need to do anything to change yourself, but talking to a counselor can be helpful in managing your reaction to a incredibly traumatic experience.  I hope this helps you understand your feelings and can get to a place where you enjoy life."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","First and foremost, be gentle and patient with yourself. It is normal to feel a range of emotions after a severe trauma including no emotions at all. Try not to push yourself to feel, just notice the lack of emotion you are experiencing right now. Maybe write about your emotions and the lack of them or talk about it with a safe person. Unfortunately recovering from trauma can take time and it's best done at your own pace. If you aren't feeling there may be a reason you aren't feeling. For severe trauma I always recommend working with a trained trauma professional who has the training to guide you on your path to healing fully."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","Sociopaths don't know they are sociopaths.Clearly, you realize you have pretty deep emotions and have lived through several severely distressing situations.Your sense of self may be protecting for a while until you recover the practical aspects of daily life and feel some sense of predictability and stability in your life.Knowing and feeling disturbing emotions which rupture basic trust that other people are safe, is itself a raw process.Yes, it is possible to become numb emotionally.   The good purpose is to protect you from additional hurt.When your inner world feels itself ready, more of your emotions from the recent distressing events will be accessible.If many months pass and you see no progress, then definitely consider a few sessions with a therapist who would be able to guide you to become more open to your feelings."
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","You're not a sociopath - you're traumatized. Shutting off feelings is our brain's automatic way of protecting us when something bad happens and we just can't deal with any more pain. It's temporary - which is both good and bad news, because after the numb goes away and your brain decides you're ready to handle it, you'll feel the emotional pain.  My advice is to get a therapist ASAP so you have a safe place and a safe person when that happens.This is a horrible thing that happened to you, but you are not a horrible person. With good therapy you will learn to assimilate this into the rest of your life. You'll never forget, but you won't have the same pain about it  .Good luck! You can do this!"
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","I am so sorry to hear about what happened to you! What you are describing is being in a state of shock. You haven't suddenly become a sociopath - this is a normal reaction to an event that is completely overwhelming. There are most likely too many feelings to feel right now, so your body in its wisdom is shutting them down. You absolutely can recover, and it would be really important to get some trauma counseling with a counselor who feels safe for you to talk with. This is not the kind of situation to try and handle totally on your own."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","You are right on to recognize that the effects of trauma can be cumulative.  It is very possible that a car accident could lead to an increase in PTSD symptoms that were related to other traumatic experiences.If you have been deployed to a combat area, you are most likely eligible for free counseling services through the VA Vet Centers.  The Vet Center clinicians typically have a lot of experience working with military trauma. Here's a link to a directory of Vet Centers:http://www.va.gov/directory/guide/vetcenter.aspYour service and sacrifice is greatly appreciated."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","A car accident can be scary and possibly trigger your symptoms of PTSD. It is good that you recognize the possibility of this occurring.Not everyone who experiences a car accident develops PTSD. The chances are definitely increased due to your prior diagnosis during military service.Some of the things to be mindful of for yourself include:1. Feelings of anxiety and increased heart rate when you're faced with reminders of the event.2. Feeling a little more on edge when you're driving.3.Being more watchful. You're more likely to scan your environment for potential sources of threats.4. Avoidance. Because of the anxiety that often follows an accident, it's natural that you may want to avoid some situations or experience hesitation at times.If you experience any of these symptoms or feel other symptoms of PTSD it would be advisable to seek help possibly through your local VA Medical Clinic or a private practitioner. There are certain modalities such as EMDR that can help with your symptoms."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","There are many types of traumas, and they certainly can compound on one another as you experience them. Without treating the traumas, or incidents where you felt there was a significant risk to your safety or that of others, there can be a cumulative effect. What we have learned in the mental health field from studying traumas, is that the body as a whole responds to these stressors in order to keep you safe during the events. If the body does not realize that it no longer needs to respond in this way because the event is now over, and then receives a trigger from a new event, it makes sense that the new event could cause additional issues. Both of these events can be addressed with the help of a Counselor. There are many Counselors that specialize in trauma inside and outside of the VA, so shop around if you are able and find someone that you connect with."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","A car accident can be a traumatic event. Especially,  if it was serious, you could have feared for your life, felt everythingvwas out of control and had normal reactions to an abnormal situation afterwards. This may or may not be related to the traumas that you experienced in the military. If it is then it is possible that you will see a direct effect in triggering off PTSD symptoms. Even if it didn't, it is possible that the complexity of the two situations will interact inside you to be a combined response. Having already been diagnosed with PTSD, this might be a good time to reconnect with the help system you had around military experiences and explore it a little bit about the new experience. The right exploration does not have to make things worse and can be a good source of prevention."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","Post Traumatic Stress Disorder can occur after any traumatic event where a real and present threat of harm or loss of life to yourself or others is present. Yes, a car accident could increase PTSD symptoms such as hyper-vigilance, anxiety, nightmares, re-playing the event, etc. Depending on the severity of the accident new triggers might exist. This is not to say that you cannot recover. Are you currently experiencing additional trauma symptoms?"
"I have PTSD. The side effects are really bad and have impacts on sex, anger and my relationships. I even lost my job month ago.    How can I get my life back?","This is a great question. PTSD can be very complex and debilitating. It must be very difficult for you at this time.When we feel complex emotions such as anger, frustration, and possibly low-self worth, the tendency is to try to avoid or suppress these emotions. The more you avoid them, the more these emotions will express themselves, and at the worst times. This may be why your PTSD symptoms are harming your relationships and your job status.To help you get your life back, it is important to process your emotions with a counselor that has specific training in trauma-informed interventions. To process emotions, you start by inviting them in, observe them with compassion and without judgment. When we observe our emotions, it starts the healing process because we separate ourselves from them. Remember, thoughts and emotions are constructed. You are not your thoughts, nor your emotions. They are messengers telling you to pay attention to them. The more we avoid the messengers, the louder they get, to the point that they are crippling you in more than one way.I hope this helps you begin your change process. For more information, please here is a link to a trauma post on my blog The Wisdom Room.Please reach out for help. And contact me with any questions.Sincerely~ Catherine ClevelandCleveland Emotional Health"
"I have PTSD. The side effects are really bad and have impacts on sex, anger and my relationships. I even lost my job month ago.    How can I get my life back?","Your feeling overwhelmed by emotion and finding it difficult to trust people.  This can be a really scary feeling.  It is a common reaction for individuals who have endured a traumatic experience.  Often, the aftermath of a trauma can leave people feeling constantly on guard, panicky, depressed, isolated, and riddled with nightmares and intrusive thoughts of the incident.  And while the signs and symptoms can feel complex and at times overwhelming, feeling better is more than possible.  Give yourself credit for the courage that it takes to reach out.  With trauma therapy, I would expect you will begin feeling better as we implement a compassionate and client-focused evidenced -based approach together. I've helped countless people to gain positive ground over their traumatic experiences in a safe, supportive environment.  I offer a variety of evidenced based traditional therapies as well as holistic modalities to best support you on the path to healing.  We will work together as allies in your treatment.  It would be an honor to work with you."
"I have PTSD. The side effects are really bad and have impacts on sex, anger and my relationships. I even lost my job month ago.    How can I get my life back?","Slowly is the rate at which you'll get back your life.Being traumatized means not feeling safe in almost all areas of life.Be patient with yourself as you try to regain trust that people will not harm you and will be sources of satisfaction in your life.It is possible that the trauma in your life requires such great attention on your part to your own inner emotional safety that you are better off with a less intensive job than the one you recently lost.Try to prioritize restoring your emotional and psychological health.  With this as the top area of your attention then you may have an easier time to accept a lesser degree of involvement in your work and relationships.When you feel angry, try to examine if underlying the anger are feelings of stress, fear, insecurity regarding your position in relationship to the person toward whom you feel angry.   Anger is often the surface reaction to more destabilizing emotions like fear and insecurity.Gradually by nurturing and comforting yourself, living at a pace which is uniquely comfortable to what and how much you can handle, you'll regain your trust in both yourself and relating to others."
"I have PTSD. The side effects are really bad and have impacts on sex, anger and my relationships. I even lost my job month ago.    How can I get my life back?","It is brave of you to speak out, PTSD is not a joke and it can quickly take a toll on all aspect of life. Please, know that you are not alone and with the right help you can overcome these challenges. Living with PTSD can be very emotionally exhausting, but you can learn ways to cope with its challenges and find fulfillment in your life again. This means being proactively involved with the process, learning about the problem and positive ways to manage it can be a good start. This can also mean seeking professional help. It is important to address the problem both at the physiological and psychological level, this can mean using medication that is prescribed by a MD to reduce the intensity symptoms and also working with an experienced licensed professional. Having healthy life habits such as good sleep hygiene, healthy diet, staying away from self-medicating with drugs and alcohol, and exercising can help reduce the intensity of the symptoms as well. Please, consult with a licensed professional close to you to get more information on resources you can possibly find helpful to you."
"I have PTSD. The side effects are really bad and have impacts on sex, anger and my relationships. I even lost my job month ago.    How can I get my life back?","Hi there, I hear you, PTSD has a very debilitating effect on your whole life. I know that from personal experience. Recovering from it is possible and doable! First is step is to acknowledge to yourself that your PTSD symptoms are a normal reaction to an abnormal and traumatic event. The nightmares, the anxiety, the heightened startle response - are all typical human responses following exposure to a frightening event. It's important that you don't blame yourself or your body for reacting this way, rather approach yourself with compassion and kindness that you would extend a friend who is hurting. The second step is to start taking steps towards healing. I would really encourage you to see a counselor or therapist specializing in trauma recovery so that you have a guided, step by step support. But if this is not an option, you can begin your healing on your own using a step-by-step approach outlined in the book, Healing Trauma, by Peter Levin. It's a very hands-on book and even comes with a CD audio guide. It has concrete exercises that you can do to help you eliminate dissociation, feel grounded, and decrease your anxiety response. I have used myself and with my clients with great success! You can begin your recovery journey now with this video with Peter Levin's approach to Trauma Recovery: https://www.youtube.com/watch?v=nmJDkzDMllcOne last thing, I suggest consulting with a nutritionist or a doctor to help you boost your healing with supplements, vitamins, and minerals. The stress from PTSD is very draining on the body, and you use up a lot of energy and resources, so at times of trauma supplements are quite necessary for recovery (Magnesium, Omega 3, Zinc, Vitamin C....etc)"
I am a survivor of multiple sexual abuse/rape experiences. Triggers are having an effect on my daily life and my sexual relationship with my partner. I'm trying to learn to cope with them.,"Have you tried counseling?  Having PTSD from multiple abusive sexual experiences is very overwhelming for one to handle alone.  You may need the guidance, experience and support of a professional to identify all the triggers that effect you and obtain the best coping skills that would work for you."
I am a survivor of multiple sexual abuse/rape experiences. Triggers are having an effect on my daily life and my sexual relationship with my partner. I'm trying to learn to cope with them.,Talking about it stops it from being a secret.  It takes courage to have posted your question and that is the first step. Here is an article I wrote a few years back.  http://abuseisnotasecret.com/why-abuse-is-not-your-fault/One day at a time.
I am a survivor of multiple sexual abuse/rape experiences. Triggers are having an effect on my daily life and my sexual relationship with my partner. I'm trying to learn to cope with them.,"I'm glad you're willing to keep optimistic about life improving and offering better relationships than some of the ones in which you greatly suffered.One suggestion is to develop patience with yourself and the process of regaining your willingness to trust other people.Sexual intimacy engages all of who we truly are.   Being cautious as to who and how much you allow someone into your life, is natural for anyone recovering from trauma.Allow yourself to withdraw when situations feel dangerous.   Your sense of danger is most likely on higher alert than had you not been victimized.Be attentive and cooperate with your own sense of readiness to engage in conversation, discussions and sex with your partner.Explain all this to your partner so the person can develop their own patience with your recuperation process."
I am a survivor of multiple sexual abuse/rape experiences. Triggers are having an effect on my daily life and my sexual relationship with my partner. I'm trying to learn to cope with them.,"I encourage you to seek out and work with a therapist who specializes in treating complex trauma.  Somatic Experiencing, Brainspotting, and Internal Family Systems Therapy are all highly effective treatments for people dealing with complex trauma.  If you are interested in reading a book that is supportive and compassionate, Bessel van der Kolk's The Body Keeps the Score is a wonderful book that discusses treatment options in depth."
"My girlfriend was abused as a child. Now, if I hug or touch her in any kind of way she says she feels as if she is being abused as a child. What might be going on?","Was your gf always this way with you or did her withdrawal develop suddenly?Also, are there any other changes going on between the two of you in terms of feeling relaxed and at ease with each other, enjoying each other?Its possible her physical withdrawal, due to her sensitive nature about who touches her and the meaning of touch, reflects an underlying emotional hesitation about her feelings toward you.This can be either strong positive or negative feelings.She may be fearful of becoming more intimately attached to you, and withdraws.She may be actually withdrawing and expresses herself through the amount of touch she wants from others.Best way forward as almost always in a relationship, is to have a gentle conversation to open up the tension between the two of you."
"My girlfriend was abused as a child. Now, if I hug or touch her in any kind of way she says she feels as if she is being abused as a child. What might be going on?","Thank you for your question.  I think it's wonderful that you are approaching this with openness and curiosity.  The reaction you are describing is extremely common in survivors of abuse.  What you said is insightful...when you touch her ""she feels as if she is being abused as a child.""  From your description, I would agree that in those moments she is re-experiencing something that happened in the past as if it is happening right now.  Re-experiencing or reliving traumatic experiences is a key symptom of PTSD.If you are seeking to better understand what is going on for her, I would highly recommend Bessel van der Kolk's book the Body Keeps the Score.  This book also discusses effective treatments for overcoming trauma.  Best of luck to both of you,Sarah"
I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?,"Suicide is not a natural way to pass from this Earth, so many times it can be EXTREMELY tough to deal with because of the ""unnatural-ness"" of the event. We may find ourselves feeling guilty that we did not see it or that we could've have done more or something to stop it, but often the fish in the fishbowl cannot see that which is closest to him. You are currently trying to numb your feelings, those feelings as nasty as they are, are meant to be felt, those feelings help us to process the event and also help us to pass through the situation. Your friend has a legacy, remember it, and honor that legacy everyday in some small or even grand way, perhaps committing or volunteering your time to help others in honor of your friend.Hope this helps, C"
